股票代码,股票名称,信号日,实际买入日,买入价,买点,MA5,MA10,MA20,MA60,20日动量,60日动量,换手率,入场评分,条件复核,买入原因,卖出日,卖出价,卖出原因,持仓日数,收益率,盈亏,盈亏金额
600396.SH,华电辽能,2026-04-15,2026-04-16,7.68,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,7.432,7.43,7.427,4.6748,0.712766,1.701342,2982.434082,64.57,True,MA5>MA10>MA20>MA60；20日动量71.28%；当日评分64.57，评分排序最多持4只,2026-04-17,7.29,均线走弱信号,1,-0.052109,亏损,-12735.23
603538.SH,美诺华,2026-04-15,2026-04-16,39.484,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,35.5171,32.3185,27.7871,19.5842,1.105463,1.621634,2075.983398,65.36,True,MA5>MA10>MA20>MA60；20日动量110.55%；当日评分65.36，评分排序最多持4只,2026-04-20,36.3253,8%固定止损,2,-0.081287,亏损,-19591.89
688693.SH,锴威特,2026-04-15,2026-04-16,93.0,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,86.27,71.892,58.674,46.386,1.356683,1.417702,1717.916626,65.42,True,MA5>MA10>MA20>MA60；20日动量135.67%；当日评分65.42，评分排序最多持4只,2026-04-17,98.115,5.5%固定止盈,1,0.053524,盈利,12951.17
002980.SZ,华盛昌,2026-04-16,2026-04-17,66.4,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,62.494,55.97,48.039,34.1497,0.738687,2.007692,3110.77417,58.33,True,MA5>MA10>MA20>MA60；20日动量73.87%；当日评分58.33，评分排序最多持4只,2026-04-20,75.18,5.5%固定止盈,1,0.130645,盈利,32119.3
301362.SZ,民爆光电,2026-04-16,2026-04-17,108.4489,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,105.7641,94.1285,81.9273,64.8367,0.511741,2.766014,1227.062378,53.73,True,MA5>MA10>MA20>MA60；20日动量51.17%；当日评分53.73，评分排序最多持4只,2026-04-20,114.4136,5.5%固定止盈,1,0.053524,盈利,12198.24
301396.SZ,宏景科技,2026-04-16,2026-04-17,203.424,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,163.5814,145.7085,130.7636,92.3458,0.839573,2.989249,1063.626343,62.37,True,MA5>MA10>MA20>MA60；20日动量83.96%；当日评分62.37，评分排序最多持4只,2026-04-21,187.1501,8%固定止损,2,-0.081287,亏损,-19856.79
002580.SZ,圣阳股份,2026-04-17,2026-04-20,33.5149,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,25.4506,21.0461,18.4417,14.915,1.263508,1.345092,1819.424438,58.2,True,MA5>MA10>MA20>MA60；20日动量126.35%；当日评分58.20，评分排序最多持4只,2026-04-21,29.8421,8%固定止损,1,-0.110835,亏损,-26392.25
603629.SH,利通电子,2026-04-17,2026-04-20,77.0857,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,63.0775,55.8864,50.2031,39.9288,0.548994,2.557355,1032.378418,56.59,True,MA5>MA10>MA20>MA60；20日动量54.90%；当日评分56.59，评分排序最多持4只,2026-04-21,70.9188,8%固定止损,1,-0.081287,亏损,-18811.37
688693.SH,锴威特,2026-04-17,2026-04-20,98.81,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,93.516,80.629,64.5905,48.4108,1.567036,1.757445,1931.957886,70.72,True,MA5>MA10>MA20>MA60；20日动量156.70%；当日评分70.72，评分排序最多持4只,2026-04-21,90.9052,8%固定止损,1,-0.081287,亏损,-20094.0
002361.SZ,神剑股份,2026-04-20,2026-04-21,21.47,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,18.806,17.566,15.825,13.8703,0.837044,0.264868,4018.894775,53.92,True,MA5>MA10>MA20>MA60；20日动量83.70%；当日评分53.92，评分排序最多持4只,2026-04-22,22.6508,5.5%固定止盈,1,0.053524,盈利,10694.68
002980.SZ,华盛昌,2026-04-20,2026-04-21,76.12,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,70.454,62.283,51.7815,35.9287,1.095647,2.508772,2643.165283,81.74,True,MA5>MA10>MA20>MA60；20日动量109.56%；当日评分81.74，评分排序最多持4只,2026-04-22,81.44,5.5%固定止盈,1,0.068393,盈利,15629.12
301362.SZ,民爆光电,2026-04-20,2026-04-21,105.6971,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,107.8829,101.0802,85.7261,67.4126,0.568634,2.602174,1279.497437,61.2,True,MA5>MA10>MA20>MA60；20日动量56.86%；当日评分61.20，评分排序最多持4只,2026-04-23,111.5104,5.5%固定止盈,2,0.053524,盈利,11888.71
301373.SZ,凌玮科技,2026-04-20,2026-04-21,99.4459,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,93.1979,88.7842,78.0446,57.4805,0.52826,1.866667,1732.3125,53.08,True,MA5>MA10>MA20>MA60；20日动量52.83%；当日评分53.08，评分排序最多持4只,2026-04-23,91.4903,8%固定止损,2,-0.081287,亏损,-15369.73
301396.SZ,宏景科技,2026-04-21,2026-04-22,200.5549,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,197.2161,170.6886,143.7722,99.5366,0.85183,2.635689,963.749268,62.09,True,MA5>MA10>MA20>MA60；20日动量85.18%；当日评分62.09，评分排序最多持4只,2026-04-23,226.9625,5.5%固定止盈,1,0.130089,盈利,28719.15
603629.SH,利通电子,2026-04-21,2026-04-22,72.3035,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,71.0487,61.9569,53.4029,41.7042,0.758297,2.378631,1030.165894,57.11,True,MA5>MA10>MA20>MA60；20日动量75.83%；当日评分57.11，评分排序最多持4只,2026-04-23,77.0857,5.5%固定止盈,1,0.064649,盈利,14500.54
002297.SZ,博云新材,2026-04-22,2026-04-23,20.54,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,18.502,15.46,13.1585,12.6132,0.921402,0.638934,3435.216797,51.11,True,MA5>MA10>MA20>MA60；20日动量92.14%；当日评分51.11，评分排序最多持4只,2026-04-24,21.6697,5.5%固定止盈,1,0.053524,盈利,11331.58
002361.SZ,神剑股份,2026-04-22,2026-04-23,23.65,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,20.996,18.997,17.042,14.1778,1.13063,0.79031,4300.209473,62.88,True,MA5>MA10>MA20>MA60；20日动量113.06%；当日评分62.88，评分排序最多持4只,2026-04-24,21.758,8%固定止损,1,-0.081287,亏损,-20199.75
002580.SZ,圣阳股份,2026-04-22,2026-04-23,25.9596,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,29.5047,25.2669,20.8081,15.7381,0.89172,0.993289,4199.59375,59.96,True,MA5>MA10>MA20>MA60；20日动量89.17%；当日评分59.96，评分排序最多持4只,2026-04-24,27.3874,5.5%固定止盈,1,0.053524,盈利,13209.14
002980.SZ,华盛昌,2026-04-22,2026-04-23,80.0,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,76.202,68.269,56.243,37.8968,1.110158,2.57011,1907.069336,66.24,True,MA5>MA10>MA20>MA60；20日动量111.02%；当日评分66.24，评分排序最多持4只,2026-04-28,84.4,5.5%固定止盈,3,0.053524,盈利,13283.25
003018.SZ,金富科技,2026-04-23,2026-04-24,42.6486,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,39.3927,34.3642,29.5025,22.5994,1.135283,2.101359,936.464539,51.0,True,MA5>MA10>MA20>MA60；20日动量113.53%；当日评分51.00，评分排序最多持4只,2026-04-27,46.5416,5.5%固定止盈,1,0.089755,盈利,19536.0
301396.SZ,宏景科技,2026-04-23,2026-04-24,234.7349,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,215.346,189.4637,155.9039,105.5759,1.036847,3.498381,909.162415,64.27,True,MA5>MA10>MA20>MA60；20日动量103.68%；当日评分64.27，评分排序最多持4只,2026-04-29,211.2607,8%固定止损,3,-0.101262,亏损,-23786.39
603629.SH,利通电子,2026-04-23,2026-04-24,79.7123,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,76.8844,67.6427,57.1508,43.6642,0.858328,2.903485,1226.770752,56.4,True,MA5>MA10>MA20>MA60；20日动量85.83%；当日评分56.40，评分排序最多持4只,2026-04-28,85.1868,5.5%固定止盈,2,0.067183,盈利,16077.24
002361.SZ,神剑股份,2026-04-24,2026-04-27,20.39,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,22.284,20.152,18.081,14.5345,0.730645,0.922939,3979.779785,54.47,True,MA5>MA10>MA20>MA60；20日动量73.06%；当日评分54.47，评分排序最多持4只,2026-04-28,21.5114,5.5%固定止盈,1,0.053524,盈利,13651.49
002580.SZ,圣阳股份,2026-04-27,2026-04-28,28.3949,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,27.9298,27.8998,22.5986,16.4687,0.771358,1.18997,3521.771484,56.39,True,MA5>MA10>MA20>MA60；20日动量77.14%；当日评分56.39，评分排序最多持4只,2026-05-07,29.9566,5.5%固定止盈,4,0.053524,盈利,13839.94
301373.SZ,凌玮科技,2026-04-27,2026-04-28,119.7042,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,106.3702,99.7841,88.1229,63.4504,0.63946,2.322875,2510.068848,60.46,True,MA5>MA10>MA20>MA60；20日动量63.95%；当日评分60.46，评分排序最多持4只,2026-05-07,126.2879,5.5%固定止盈,4,0.053524,盈利,14105.38
688677.SH,海泰新光,2026-04-27,2026-04-28,121.6201,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,100.8929,88.7886,76.8068,54.6708,1.979428,1.429624,542.936157,54.25,True,MA5>MA10>MA20>MA60；20日动量197.94%；当日评分54.25，评分排序最多持4只,2026-04-29,111.8905,8%固定止损,1,-0.081287,亏损,-19786.13
002980.SZ,华盛昌,2026-04-28,2026-04-29,84.0,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,81.074,77.57,64.2805,41.7732,0.942896,2.706318,1804.323608,63.46,True,MA5>MA10>MA20>MA60；20日动量94.29%；当日评分63.46，评分排序最多持4只,2026-04-30,77.28,8%固定止损,1,-0.081287,亏损,-19132.11
688530.SH,欧莱新材,2026-04-28,2026-04-29,51.68,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,43.116,38.321,34.299,31.4068,0.731063,1.762316,4556.320801,66.76,True,MA5>MA10>MA20>MA60；20日动量73.11%；当日评分66.76，评分排序最多持4只,2026-04-30,54.5224,5.5%固定止盈,1,0.053524,盈利,13563.49
002297.SZ,博云新材,2026-04-29,2026-04-30,23.44,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,22.172,20.337,16.001,13.425,1.123513,0.877832,3726.442383,68.69,True,MA5>MA10>MA20>MA60；20日动量112.35%；当日评分68.69，评分排序最多持4只,2026-05-06,24.7292,5.5%固定止盈,1,0.053524,盈利,12805.91
301396.SZ,宏景科技,2026-04-29,2026-04-30,230.5239,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,234.4479,221.763,179.8049,117.4374,1.136147,3.005505,926.668945,73.06,True,MA5>MA10>MA20>MA60；20日动量113.61%；当日评分73.06，评分排序最多持4只,2026-05-06,243.2027,5.5%固定止盈,1,0.053524,盈利,12347.21
603629.SH,利通电子,2026-04-30,2026-05-06,107.0277,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,87.5022,82.1933,67.4275,48.9922,1.192348,3.167676,1239.329346,78.87,True,MA5>MA10>MA20>MA60；20日动量119.23%；当日评分78.87，评分排序最多持4只,2026-05-07,114.3437,5.5%固定止盈,1,0.066861,盈利,16470.4
688530.SH,欧莱新材,2026-04-30,2026-05-06,54.26,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,48.398,42.272,36.512,32.4935,0.788235,1.78534,3294.353027,70.77,True,MA5>MA10>MA20>MA60；20日动量78.82%；当日评分70.77，评分排序最多持4只,2026-05-07,57.2443,5.5%固定止盈,1,0.053524,盈利,12787.49
